,filename,SUM #line_changed
6778,.../persistence/PersistenceUnitInfoImpl.java,867.0
6774,.../persistence/PersistenceMetaDataFactory.java,854.0
5995,.../org/apache/openjpa/kernel/StoreContext.java,851.0
8328,.../src/doc/manual/ref_guide_deploy.xml,848.0
4463,.../openjpa/lib/meta/ClassMetaDataIterator.java,848.0
597,.../apache/openjpa/persistence/FetchPlanImpl.java,848.0
6122,.../org/apache/openjpa/lib/xml/XMLFactory.java,845.0
11,.../AnnotationPersistenceMappingSerializer.java,842.0
10079,openjpaexamples/openbooks/LICENSE.txt,832.0
358,.../apache/openjpa/jdbc/meta/ClassMappingInfo.java,830.0
2629,.../java/org/apache/openjpa/util/CacheMap.java,825.0
9821,.../xmlmapping/query/TestXMLCustomerOrder.java,825.0
9778,.../validation/TestValidationGroups.java,824.0
4298,.../openjpa/jdbc/meta/QueryResultMapping.java,823.0
2703,.../jdbc/XMLPersistenceMappingSerializer.java,821.0
4475,.../openjpa/lib/rop/LazyForwardResultList.java,820.0
559,.../apache/openjpa/lib/util/concurrent/Lock.java,820.0
4721,.../openjpa/persistence/criteria/PathImpl.java,819.0
6701,.../org/apache/openjpa/tools/MigrationTool.java,815.0
145,.../access/xml/TestXMLExplicitAccess.java,815.0
5680,.../org/apache/openjpa/conf/localizer.properties,814.0
1394,.../delayed/DelayedProxyCollectionsTestCase.java,810.0
135,.../abstractstore/AbstractStoreManager.java,810.0
8321,.../src/doc/manual/jpa_overview_sqlquery.xml,806.0
3311,.../lib/rop/AbstractNonSequentialResultList.java,806.0
24,.../HandlerHandlerMapTableFieldStrategy.java,805.0
3276,.../kernel/exps/AbstractExpressionBuilder.java,805.0
7107,.../persistence/embed/TestEmbeddableXml.java,805.0
4365,.../openjpa/jdbc/sql/DBDictionaryFactory.java,804.0
4384,.../openjpa/kernel/DelegatingResultList.java,802.0
9465,.../src/test/resources/METAINF/persistence.xml,799.0
3198,.../kernel/TestManagedInterfacesAppId.java,798.0
8249,.../serp/bytecode/lowlevel/TestConstantPool.java,796.0
10519,openjpaosgi/pom.xml,794.0
4214,.../openjpa/jdbc/conf/JDBCConfiguration.java,794.0
5959,.../org/apache/openjpa/kernel/FetchStateImpl.java,793.0
5705,.../org/apache/openjpa/enhance/CodeGenerator.java,791.0
1129,.../apache/openjpa/xmlstore/XMLFileHandler.java,790.0
8322,.../src/doc/manual/jpa_overview_trans.xml,790.0
7735,.../persistence/meta/SourceAnnotationHandler.java,790.0
5168,.../openjpa/persistence/jest/JESTRequest.java,788.0
8289,.../slice/jdbc/DistributedPreparedStatement.java,784.0
7641,.../persistence/kernel/TestSecondClassValues.java,783.0
6969,.../persistence/criteria/TestStringCriteria.java,776.0
16,.../BatchingPreparedStatementManagerImpl.java,774.0
8310,.../src/doc/manual/img/stringrelmap.graffle,773.0
3301,.../lib/jdbc/ConfiguringConnectionDecorator.java,763.0
1663,.../inheritance/entities/EntityMapping.java,761.0
5648,.../org.apache.openjpa.eclipse/LICENSE.txt,760.0
401,.../apache/openjpa/jdbc/schema/SchemaGroup.java,758.0
444,.../apache/openjpa/kernel/FetchConfiguration.java,758.0
