bug_ref,commitID_1,commitID_2,filename,#line_changed
HBASE-10569,7716a3ca949670f0a88472cbb07e2c63e5a50c35,d59d9b48f4,.../main/java/org/apache/hadoop/hbase/master/HMasterCommandLine.java,3
HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hadoop/hbase/catalog/CatalogTracker.java,11
HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hadoop/hbase/client/ConnectionAdapter.java,409
HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hadoop/hbase/client/ConnectionUtils.java,31
HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hadoop/hbase/DistributedHBaseCluster.java,4
HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../apache/hadoop/hbase/chaos/actions/Action.java,23
HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../chaos/actions/RestartRsHoldingMetaAction.java,7
HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hbase/tmpl/master/BackupMasterStatusTmpl.jamon,16
HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hbase/tmpl/master/MasterStatusTmpl.jamon,4
HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hbase/tmpl/master/RegionServerListTmpl.jamon,2
HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hbase/tmpl/regionserver/RSStatusTmpl.jamon,18
HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hbase/client/CoprocessorHConnection.java,36
HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../org/apache/hadoop/hbase/ipc/RpcServer.java,47
HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hadoop/hbase/ipc/RpcServerInterface.java,2
HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hadoop/hbase/ipc/SimpleRpcScheduler.java,4
HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hadoop/hbase/master/ActiveMasterManager.java,29
HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../org/apache/hadoop/hbase/master/HMaster.java,1969
HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hadoop/hbase/master/MasterDumpServlet.java,6
HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hadoop/hbase/master/MasterFileSystem.java,4
HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hadoop/hbase/master/MasterRpcServices.java,1194
HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../apache/hadoop/hbase/master/MasterServices.java,4
HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hadoop/hbase/master/MasterStatusServlet.java,17
HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../hbase/master/MetricsMasterWrapperImpl.java,4
HBASE-10569,0e5d21e96ae24e8c658a1b74843b72bddcb7435,7716a3ca94,.../apache/hadoop/hbase/master/RegionStates.java,10
